# Pattern-based repairs. Transcripts follow "Title — Name" (em-dash).
# Canvas titles and the question had emojis; best guesses below.
canvas,cmnd0s5tq0004oa01p56735ho,name,Thematic Analysis ✨
canvas,cmnq0ng7700dhlf01frze5a2q,name,Thematic Analysis ✨ (Clone)
canvas,cmnqdjr1400ejlf01hapca5c1,name,Methods Assignment 📝 Interview Coding
question,cmnq0o2a100e9lf01krkdm3lp,text,Thème émotionnel 😊 😢
transcript,cmnd0tj720010oa01lyko20vl,title,Interview #1 — Dr. Sarah Chen (Updated)
transcript,cmnq0ng7f00djlf01mpqla5uj,title,Interview #1 — Dr. Sarah Chen (Updated)
transcript,cmnqdjrql00emlf013k9lssot,title,Interview 1 — Alex (College Experience)
transcript,cmnqdjsdf00eplf01vhql9c3i,title,Interview 2 — Jordan (Study Habits)
transcript,cmnqeyr0600hhlf013y5uhj8y,title,Teacher A — Ms. Rodriguez (Year 12 English)
transcript,cmnqeyrrc00hklf01kzy7qcau,title,Teacher B — Mr. Okafor (Year 9 Science)
transcript,cmnqf5b9n00kplf01hudx1pxs,title,Teacher C — Mrs. Patel (Year 7 Maths)
